session,touch,time,data,time_sec,touch_type
1,4,12,0.0,-0.8333333333333334,Anogenital sniffing
1,4,13,0.0,-0.5000000000000003,Anogenital sniffing
1,4,14,0.0,-0.16666666666666727,Anogenital sniffing
1,4,15,0.0,0.16666666666666666,Anogenital sniffing
1,4,16,0.0,0.49999999999999967,Anogenital sniffing
1,4,17,0.0,0.8333333333333327,Anogenital sniffing
1,4,18,0.0,1.1666666666666667,Anogenital sniffing
1,4,19,0.0,1.4999999999999998,Anogenital sniffing
1,4,20,0.0,1.8333333333333328,Anogenital sniffing
1,4,21,0.0,2.1666666666666665,Anogenital sniffing
1,4,22,0.0,2.4999999999999996,Anogenital sniffing
1,4,23,0.0,2.8333333333333326,Anogenital sniffing
1,4,24,0.0,3.1666666666666665,Anogenital sniffing
1,4,25,0.0,3.4999999999999987,Anogenital sniffing
1,4,26,0.0,3.8333333333333326,Anogenital sniffing
1,4,27,0.0,4.166666666666667,Anogenital sniffing
1,4,28,0.0,4.499999999999999,Anogenital sniffing
1,4,29,0.0,4.833333333333333,Anogenital sniffing
1,4,30,0.0,5.166666666666667,Anogenital sniffing
1,4,31,0.0,5.499999999999999,Anogenital sniffing
1,4,32,0.0,5.833333333333333,Anogenital sniffing
1,4,33,0.0,6.166666666666667,Anogenital sniffing
1,4,34,0.0,6.499999999999999,Anogenital sniffing
1,4,35,0.0,6.833333333333333,Anogenital sniffing
1,4,36,0.0,7.166666666666667,Anogenital sniffing
1,4,37,0.0,7.499999999999999,Anogenital sniffing
1,4,38,0.0,7.833333333333333,Anogenital sniffing
1,4,39,0.0,8.166666666666666,Anogenital sniffing
1,4,40,0.0,8.499999999999998,Anogenital sniffing
1,4,41,0.0,8.833333333333332,Anogenital sniffing
1,4,42,0.0,9.166666666666666,Anogenital sniffing
1,4,43,0.0,9.499999999999998,Anogenital sniffing
1,4,44,0.0,9.833333333333332,Anogenital sniffing
1,5,0,0.0,-4.833333333333333,Other interaction
1,5,1,0.0,-4.5,Other interaction
1,5,2,0.0,-4.166666666666666,Other interaction
1,5,3,0.0,-3.8333333333333335,Other interaction
1,5,4,0.0,-3.5000000000000004,Other interaction
1,5,5,0.0,-3.166666666666667,Other interaction
1,5,6,0.0,-2.8333333333333335,Other interaction
1,5,7,0.0,-2.5000000000000004,Other interaction
1,5,8,0.0,-2.166666666666667,Other interaction
1,5,9,0.0,-1.8333333333333333,Other interaction
1,5,10,0.0,-1.5000000000000002,Other interaction
1,5,11,0.0,-1.1666666666666667,Other interaction
1,5,12,0.0,-0.8333333333333334,Other interaction
